date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate,B.1.1.7,B.1.617.2,cumPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate
2020-08-04,0.012688255089093617,0.06095193276140324,0.008038585209003215,0.3253689824412197,0.0,0.0,0.0,0.0
2020-08-05,0.012991669884702378,0.061167758319365,0.002411575562700965,0.3253955598079342,0.0,0.0,0.0,0.0
2020-08-06,0.013515749986208418,0.061392290216182976,0.007234726688102894,0.3254752919080777,0.0,0.0,0.0,0.0
2020-08-07,0.011943509681690296,0.061590703096432324,0.005627009646302251,0.32553730576374496,0.0,0.0,0.0,0.0
2020-08-08,0.008757654327798311,0.06173619060100315,0.008842443729903537,0.3256347561083648,0.0,0.0,0.0,0.0
2020-08-09,0.00765432779831191,0.06186334897113986,0.006430868167202572,0.32570562908627015,0.0,0.0,0.0,0.0
2020-08-10,0.018618635185083027,0.062172653114715634,0.008842443729903537,0.32580307943089,0.0,0.0,0.0,0.0
2020-08-11,0.016701605340100404,0.06245011038721213,0.008038585209003215,0.3258916706532717,0.0,0.0,0.0,0.0
2020-08-12,0.0151155734539637,0.06270121952895957,0.00482315112540193,0.32594482538670067,0.0,0.0,0.0,0.0
2020-08-13,0.01406741325095162,0.06293491599299461,0.005627009646302251,0.32600683924236784,0.0,0.0,0.0,0.0
2020-08-14,0.014315661720086059,0.06317273651227731,0.00482315112540193,0.3260599939757969,0.0,0.0,0.0,0.0
2020-08-15,0.008867986980746952,0.06332005693029155,0.008842443729903537,0.3261574443204167,0.0,0.0,0.0,0.0
2020-08-16,0.00730953825784741,0.0634414874459176,0.003215434083601286,0.3261928808093694,0.0,0.0,0.0,0.0
2020-08-17,0.0156672367187069,0.0637017611548821,0.00964630225080386,0.32629919027622745,0.0,0.0,0.0,0.0
2020-08-18,0.012743421415567937,0.06391346265759619,0.005627009646302251,0.3263612041318946,0.0,0.0,0.0,0.0
2020-08-19,0.01479836707673636,0.06415930217319382,0.001607717041800643,0.32637892237637095,0.0,0.0,0.0,0.0
2020-08-20,0.016798146411430463,0.0644383632449533,0.006430868167202572,0.3264497953542763,0.0,0.0,0.0,0.0
2020-08-21,0.0138743311082915,0.06466885211046236,0.005627009646302251,0.3265118092099435,0.0,0.0,0.0,0.0
2020-08-22,0.009860980857284714,0.0648326687494673,0.00482315112540193,0.3265649639433725,0.0,0.0,0.0,0.0
2020-08-23,0.009598940806531692,0.06499213221904415,0.01045016077170418,0.3266801325324687,0.0,0.0,0.0,0.0
2020-08-24,0.015612070392232582,0.06525148947128695,0.0040192926045016075,0.32672442814365954,0.0,0.0,0.0,0.0
2020-08-25,0.0146328680973134,0.06549457961671946,0.008842443729903537,0.32682187848827937,0.0,0.0,0.0,0.0
2020-08-26,0.0156672367187069,0.06575485332568397,0.008842443729903537,0.32691932883289926,0.0,0.0,0.0,0.0
2020-08-27,0.018273845644618526,0.06605842961474909,0.006430868167202572,0.32699020181080457,0.0,0.0,0.0,0.0
